Date,Series1,Series2,Series3,Series4,Series5,Series6,Series7,Series8
0,0.585226567993105,0.7535296323449057,0.2050614287823057,0.6639013636833506,0.18006212301035984,0.004830500232444135,0.9320078721654157,0.22909174513905284
1,0.15780218398084545,0.5821628815797562,0.053618328124249715,0.019658391911506867,0.5597094608270464,0.4707217489102872,0.6385431325820653,0.681854325520989
2,0.6249728071082205,0.7823852589264466,0.18033626128629332,0.5232720718689643,0.8360716755559108,0.894414622145714,0.7396590247785727,0.0526105863245222
3,0.46198421098464026,0.6582932019789703,0.8402953413708099,0.5628409571657462,0.08689206402634309,0.06741935144349342,0.7072527840325445,0.14376702241358064
4,0.5121108551474339,0.41234799014614176,0.7505079615705582,0.41604670632306795,0.015223485422659833,0.0015801201830667466,0.19588436514739682,0.3739585783631215
5,0.03437502425758632,0.8840228789179281,0.9538108368190832,0.46582475491023434,0.17548180724689966,0.6548250358665335,0.018617177146616037,0.6726761641272677
6,0.804823495630024,0.6373415077103001,0.9093372765916081,0.9696243290523262,0.5935073128973475,0.28145390020569383,0.5550178768590782,0.5046526139431177
7,0.7313115490370098,0.854517899447585,0.2720224058818391,0.09938126528201718,0.8706852143004221,0.7045185912775558,0.8083827473912755,0.21751526624650064
8,0.8949290518921734,0.9547279354473556,0.48604651216509376,0.6938406258704478,0.560234163224588,0.7351196286231858,0.48930901034986785,0.7855260156358868
9,0.14238991004471013,0.2518939504535387,0.14997990175340603,0.584354661019636,0.14876596283176957,0.5900014645905097,0.09477525284286648,0.04756959462531907
10,0.334532992157644,0.06928458130097082,0.9565171457760152,0.4504818682144144,0.49633141555142846,0.6228790480831887,0.7340431328675775,0.45844073575115785
11,0.7181378217476952,0.5487989724820493,0.6435478402276519,0.8213892440986686,0.982521458247325,0.7222095560465082,0.1901301398975973,0.29789915041497717
12,0.2175310029035007,0.22319269365840333,0.7607697410029625,0.20820539517250625,0.5812363316362686,0.7075541082770601,0.4651186739744356,0.4877279498596485
13,0.25129137339906416,0.6916528926624389,0.8246013852064227,0.016503254375566545,0.3895584514585717,0.45574083941012045,0.3387087162504404,0.06459340996098706
14,0.46681158968116654,0.5964124330105904,0.033387666974147745,0.5790263685220679,0.3274931666215444,0.12420517578547108,0.8977764094019968,0.5125674122134355
15,0.4209909525198332,0.007816608883794207,0.82391297617287,0.2840807484005059,0.9121028773956009,0.35618293046524574,0.4159394315023205,0.24827536128861916
16,0.4570861916681396,0.1456938040097071,0.42785406626523326,0.006106051762450493,0.1399665627740222,0.43772547362533454,0.45583961028463327,0.6103912442705681
17,0.5776737905573978,0.30254614237803956,0.268629221919613,0.1704301555582446,0.3889997849393573,0.6589626454103034,0.04599308803947266,0.790939263605179
18,0.910391185630544,0.2784481722805815,0.9829147524207016,0.2759108538775349,0.20906116737582547,0.7355087301246469,0.5614518705998985,0.2043913144816344
19,0.2579070316658859,0.5956867076188234,0.08375968448008997,0.8928552634591057,0.5247951399408016,0.29992726436204165,0.5728171529726849,0.4984524798653144
20,0.7739446582101286,0.666037776792544,0.9949928893373006,0.17970241374606633,0.697647520104534,0.44255114114896343,0.18784695434083876,0.3332498532794703
21,0.06286151671502604,0.4843756121651631,0.7794519141103832,0.34881235641155406,0.2775261329017743,0.7888347610354052,0.8961120149644025,0.6579473302045438
22,0.8655449075777304,0.871922157726693,0.2637873587313654,0.16682493678028765,0.18449095163952045,0.14351795789735355,0.8468928848889172,0.4223110880256755
23,0.6135494647560331,0.1650792662908842,0.3219659075479019,0.9744666802235211,0.6326542907636958,0.21461566489325068,0.5787200731537401,0.12955112110599476
24,0.7019915663134735,0.7162567252655982,0.2818856471081791,0.05329089582710844,0.9308046289119012,0.46332129768245567,0.5530821294437405,0.16505472734466287
